Date,Name,Year,Letterboxd URI,Rating
2023-08-01,Cast Away,2000,https://boxd.it/20i8,4
2023-11-08,The Yellow Sea,2010,https://boxd.it/2j6q,4
2023-11-10,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2023-11-13,Knives Out,2019,https://boxd.it/jWEA,3
2023-11-18,The Darjeeling Limited,2007,https://boxd.it/24as,4
2023-11-25,Enemy at the Gates,2001,https://boxd.it/29s2,3.5
2023-11-26,The White Tiger,2021,https://boxd.it/nhg6,2
2023-11-27,Before We Go,2014,https://boxd.it/8KRg,3
2023-11-27,The Hurt Locker,2008,https://boxd.it/1Soi,3
2023-11-27,Chronicle of an Escape,2006,https://boxd.it/1vDk,3
2023-11-27,Rocky,1976,https://boxd.it/28Uk,3.5
2023-11-27,Happy Gilmore,1996,https://boxd.it/1Yey,3.5
2023-11-27,Panic Room,2002,https://boxd.it/2490,3.5
2023-11-27,Sir,2018,https://boxd.it/iNpa,3.5
2023-11-27,School of Rock,2003,https://boxd.it/28xK,3.5
2023-11-27,Shutter Island,2010,https://boxd.it/1U82,3.5
2023-11-27,Paprika,2006,https://boxd.it/23wW,3.5
2023-11-27,Die Hard,1988,https://boxd.it/2a7u,3.5
2023-11-28,300,2006,https://boxd.it/28XI,2
2023-11-29,127 Hours,2010,https://boxd.it/SLa,3.5
2023-11-29,Charlie and the Chocolate Factory,2005,https://boxd.it/2b68,3
2023-12-02,Baby Driver,2017,https://boxd.it/bhF2,3.5
2023-12-09,The Usual Suspects,1995,https://boxd.it/29XE,3
2023-12-10,Cloudy with a Chance of Meatballs,2009,https://boxd.it/1A40,3.5
2023-12-12,Mean Girls,2004,https://boxd.it/1VNg,3.5
2023-12-26,The Curious Case of Benjamin Button,2008,https://boxd.it/23Fk,3.5
2023-12-29,Big,1988,https://boxd.it/271S,3.5
2023-12-29,The Greatest Game Ever Played,2005,https://boxd.it/1M8I,3.5
2023-12-29,The Imitation Game,2014,https://boxd.it/6aig,3
2024-01-02,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw,3
2024-01-02,Midnight Mass,2021,https://boxd.it/wvVA,3
2024-01-03,A Quiet Place,2018,https://boxd.it/fVJQ,3
2024-01-04,The Revenant,2015,https://boxd.it/8H5e,4
2024-01-04,Rain Man,1988,https://boxd.it/2avw,4
2024-01-04,Watching the Detectives,2007,https://boxd.it/1B3i,3.5
2024-01-04,Jurassic Park,1993,https://boxd.it/2aA2,3.5
2024-01-04,Braveheart,1995,https://boxd.it/2aTI,3.5
2024-01-04,Arrival,2016,https://boxd.it/aNGk,4
2024-01-04,The Prestige,2006,https://boxd.it/293w,4
2024-01-04,WALL·E,2008,https://boxd.it/1VEo,4
2024-01-04,1917,2019,https://boxd.it/jj4y,4
2024-01-04,Gravity,2013,https://boxd.it/GZY,4
2024-01-04,Ratatouille,2007,https://boxd.it/27ww,4
2024-01-04,For a Few Dollars More,1965,https://boxd.it/29eu,4
2024-01-04,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4
2024-01-04,The Departed,2006,https://boxd.it/28MA,4
2024-01-05,Megamind,2010,https://boxd.it/16Sk,3.5
2024-01-05,Titanic,1997,https://boxd.it/2a2k,4
2024-01-05,The Matrix,1999,https://boxd.it/2a1m,4
2024-01-05,Warrior,2011,https://boxd.it/i3G,4
2024-01-05,Two,1965,https://boxd.it/5MnG,4
2024-01-05,Princess Mononoke,1997,https://boxd.it/2b4w,4
2024-01-05,Eighth Grade,2018,https://boxd.it/hDMG,4
2024-01-05,The Lord of the Rings: The Two Towers,2002,https://boxd.it/2b5E,4
2024-01-05,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,4
2024-01-06,Little Women,2019,https://boxd.it/aSVk,4.5
2024-01-06,GoodFellas,1990,https://boxd.it/29FA,4.5
2024-01-06,The Godfather Part II,1974,https://boxd.it/2aNq,4.5
2024-01-06,Back to the Future,1985,https://boxd.it/2b8e,4
2024-01-06,The Wizard of Oz,1939,https://boxd.it/29Xu,3.5
2024-01-06,Midnight Runners,2017,https://boxd.it/gaee,3.5
2024-01-06,Coco,2017,https://boxd.it/bYJQ,4
2024-01-06,Room,2015,https://boxd.it/7T0y,4
2024-01-06,Inside Out,2015,https://boxd.it/4KHC,4
2024-01-06,The Adventures of Tintin,2011,https://boxd.it/1Irc,4
2024-01-06,Your Name.,2016,https://boxd.it/cUqs,5
2024-01-06,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2024-01-06,Life Is Beautiful,1997,https://boxd.it/29Wm,5
2024-01-06,Normal People,2020,https://boxd.it/q2VY,5
2024-01-06,Zodiac,2007,https://boxd.it/27MO,5
2024-01-06,Parasite,2019,https://boxd.it/hTha,5
